Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Guerrero ,"421,28 ", 13 252 , 1 128 , 1 258 , 1 154 , 1 401 ,  964 , 1 094 , 1 213 ,  875 , 1 161 ,  926 ,  907 , 1 171
Hidalgo ,"294,34 ", 7 091 ,  455 ,  539 ,  478 ,  771 ,  576 ,  682 ,  706 ,  518 ,  615 ,  585 ,  500 ,  666
Jalisco ,"479,23 ", 33 358 , 2 584 , 2 879 , 2 747 , 3 615 , 2 463 , 2 834 , 3 412 , 2 268 , 2 760 , 2 421 , 2 327 , 3 048
México ,"338,27 ", 49 518 , 3 427 , 3 994 , 3 765 , 5 081 , 3 795 , 3 922 , 4 777 , 3 741 , 4 382 , 4 010 , 3 914 , 4 710
Michoacán ,"311,97 ", 12 410 ,  965 ,  903 ,  911 , 1 275 ,  985 ,  950 , 1 117 ,  921 , 1 135 ,  957 , 1 019 , 1 272
Morelos ,"647,61 ", 10 762 ,  782 ,  900 ,  857 ,  956 ,  815 ,  724 , 1 035 ,  775 , 1 131 ,  930 ,  890 ,  967
Nayarit ,"355,02 ", 3 433 ,  395 ,  319 ,  192 ,  347 ,  231 ,  252 ,  315 ,  259 ,  377 ,  277 ,  238 ,  231
Nuevo León ,"350,64 ", 15 404 , 1 025 , 1 309 , 1 196 , 1 873 , 1 205 , 1 150 , 1 364 , 1 077 , 1 217 , 1 143 , 1 129 , 1 716
Oaxaca ,"338,12 ", 12 011 ,  988 ,  965 ,  875 , 1 198 ,  857 , 1 039 , 1 197 ,  857 , 1 098 ,  905 ,  926 , 1 106
Puebla ,"330,39 ", 18 488 , 1 292 , 1 443 , 1 315 , 2 098 , 1 304 , 1 579 , 1 830 , 1 435 , 1 617 , 1 449 , 1 272 , 1 854
Querétaro ,"246,27 ", 4 162 ,  352 ,  309 ,  326 ,  459 ,  318 ,  336 ,  384 ,  278 ,  348 ,  340 ,  292 ,  420
Quintana Roo ,"224,93 ", 2 850 ,  229 ,  200 ,  241 ,  305 ,  224 ,  237 ,  265 ,  191 ,  274 ,  190 ,  206 ,  288
San Luis Potosí ,"408,18 ", 10 097 ,  784 ,  901 ,  769 , 1 112 ,  850 ,  843 ,  864 ,  768 ,  875 ,  790 ,  681 ,  860
Sinaloa ,"579,23 ", 15 340 , 1 078 , 1 290 , 1 174 , 1 697 , 1 196 , 1 210 , 1 414 , 1 157 , 1 342 , 1 255 , 1 136 , 1 391
Sonora ,"353,27 ", 8 788 ,  818 ,  776 ,  668 ,  985 ,  605 ,  632 ,  790 ,  603 ,  810 ,  680 ,  665 ,  756
Tabasco ,"390,20 ", 7 960 ,  464 ,  706 ,  524 ,  940 ,  762 ,  838 ,  727 ,  498 ,  765 ,  589 ,  587 ,  560
Tamaulipas ,"384,10 ", 12 118 ,  875 ,  919 ,  852 , 1 210 ,  976 , 1 004 , 1 142 ,  989 , 1 106 , 1 058 ,  952 , 1 035
Tlaxcala ,"353,45 ", 3 958 ,  274 ,  272 ,  280 ,  414 ,  301 ,  269 ,  353 ,  331 ,  394 ,  270 ,  347 ,  453
Veracruz ,"303,56 ", 22 042 , 1 627 , 1 744 , 1 626 , 2 355 , 1 744 , 1 992 , 2 259 , 1 678 , 1 852 , 1 595 , 1 576 , 1 994
Yucatán ,"503,72 ", 9 561 ,  736 ,  766 ,  778 ,  941 ,  719 ,  780 ,  889 ,  705 ,  828 ,  698 ,  688 , 1 033
Zacatecas ,"301,22 ", 4 161 ,  239 ,  318 ,  260 ,  411 ,  271 ,  372 ,  420 ,  264 ,  408 ,  367 ,  341 ,  490
TOTAL GLOBAL ,"371,55 ", 396 374 , 29 095 , 32 247 , 30 398 , 42 469 , 30 595 , 32 536 , 37 653 , 28 719 , 35 265 , 30 554 , 29 459 , 37 384
