Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
México ,344.52 , 49 732 , 4 503 , 3 640 , 3 629 , 4 352 , 4 009 , 4 355 , 5 022 , 3 946 , 4 160 , 4 932 , 3 894 , 3 290
Michoacán ,317.17 , 12 659 , 1 109 , 1 029 ,  893 , 1 050 , 1 218 , 1 109 , 1 131 , 1 039 , 1 202 , 1 201 ,  916 ,  762
Morelos ,695.25 , 11 461 , 1 277 ,  927 ,  867 , 1 140 ,  803 ,  804 , 1 284 , 1 301 ,  755 ,  916 ,  792 ,  595
Nayarit ,378.00 , 3 645 ,  308 ,  295 ,  262 ,  337 ,  398 ,  280 ,  353 ,  336 ,  264 ,  275 ,  307 ,  230
Nuevo León ,375.25 , 16 275 , 1 275 , 1 914 , 1 248 , 1 324 , 1 173 , 1 344 , 1 623 , 1 261 , 1 361 , 1 499 , 1 180 , 1 073
Oaxaca ,335.29 , 11 913 , 1 105 ,  823 ,  933 , 1 138 ,  977 , 1 037 , 1 134 ,  978 , 1 033 , 1 085 ,  946 ,  724
Puebla ,300.67 , 16 653 , 1 757 , 1 532 , 1 506 , 1 764 , 1 386 , 1 362 , 1 508 , 1 164 , 1 232 , 1 398 , 1 083 ,  961
Querétaro ,258.22 , 4 285 ,  363 ,  273 ,  320 ,  409 ,  333 ,  312 ,  425 ,  367 ,  357 ,  453 ,  372 ,  301
Quintana Roo ,198.87 , 2 428 ,  181 ,  199 ,  194 ,  214 ,  212 ,  239 ,  195 ,  166 ,  204 ,  258 ,  196 ,  170
San Luis Potosí ,411.64 , 10 133 ,  896 ,  864 ,  737 ,  920 ,  882 ,  868 , 1 035 ,  748 ,  884 ,  867 ,  782 ,  650
Sinaloa ,569.92 , 15 066 , 1 325 , 1 240 , 1 128 , 1 480 , 1 218 , 1 272 , 1 476 , 1 190 , 1 281 , 1 397 , 1 152 ,  907
Sonora ,335.51 , 8 266 ,  810 ,  700 ,  779 ,  732 ,  612 ,  685 ,  845 ,  683 ,  670 ,  747 ,  561 ,  442
Tabasco ,417.69 , 8 475 ,  550 ,  558 ,  716 ,  815 ,  719 ,  783 ,  929 ,  812 ,  759 ,  753 ,  614 ,  467
Tamaulipas ,474.90 , 14 798 , 1 314 , 1 172 , 1 252 , 1 729 , 1 451 , 1 309 , 1 492 , 1 158 , 1 194 , 1 192 ,  870 ,  665
Tlaxcala ,314.60 , 3 475 ,  303 ,  291 ,  280 ,  320 ,  229 ,  277 ,  379 ,  336 ,  293 ,  330 ,  229 ,  208
Veracruz ,305.64 , 22 135 , 1 783 , 1 682 , 1 838 , 2 069 , 1 747 , 1 963 , 2 237 , 1 872 , 1 830 , 2 029 , 1 757 , 1 328
Yucatán ,493.91 , 9 257 ,  762 ,  658 ,  749 ,  765 ,  703 ,  793 ,  905 ,  760 ,  809 ,  985 ,  674 ,  694
Zacatecas ,296.26 , 4 096 ,  335 ,  310 ,  326 ,  402 ,  310 ,  442 ,  391 ,  353 ,  325 ,  357 ,  317 ,  228
TOTAL GLOBAL ,382.61 , 404 770 , 36 287 , 33 018 , 32 781 , 39 027 , 32 875 , 34 060 , 39 540 , 32 443 , 32 996 , 37 388 , 29 807 , 24 548
