"","estado","genero","fecha","mes","casos"
"211","Nuevo Leon","General","2009","ene",1258
"212","Oaxaca","General","2009","ene",942
"213","Puebla","General","2009","ene",1958
"214","Queretaro","General","2009","ene",390
"215","Quintana Roo","General","2009","ene",262
"216","San Luis Potosi","General","2009","ene",794
"217","Sinaloa","General","2009","ene",1242
"218","Sonora","General","2009","ene",741
"219","Tabasco","General","2009","ene",584
"220","Tamaulipas","General","2009","ene",1064
"221","Tlaxcala","General","2009","ene",340
"222","Veracruz","General","2009","ene",1890
"223","Yucatan","General","2009","ene",783
"224","Zacatecas","General","2009","ene",373
"225","Aguscalientes","General","2010","ene",192
"226","Baja California","General","2010","ene",1188
"227","Baja California Sur","General","2010","ene",184
"228","Campeche","General","2010","ene",105
"229","Coahuila","General","2010","ene",1445
"230","Colima","General","2010","ene",142
"231","Chiapas","General","2010","ene",952
"232","Chihuahua","General","2010","ene",1522
"233","Distrito Federal","General","2010","ene",2709
"234","Durango","General","2010","ene",690
"235","Guanajuato","General","2010","ene",1374
"236","Guerrero","General","2010","ene",999
"237","Hidalgo","General","2010","ene",535
"238","Jalisco","General","2010","ene",2545
"239","Mexico","General","2010","ene",4786
"240","Michoacan","General","2010","ene",1194
"241","Morelos","General","2010","ene",763
"242","Nayarit","General","2010","ene",241
"243","Nuevo Leon","General","2010","ene",1299
"244","Oaxaca","General","2010","ene",997
"245","Puebla","General","2010","ene",1278
"246","Queretaro","General","2010","ene",448
"247","Quintana Roo","General","2010","ene",240
"248","San Luis Potosi","General","2010","ene",903
"249","Sinaloa","General","2010","ene",1225
"250","Sonora","General","2010","ene",721
"251","Tabasco","General","2010","ene",641
"252","Tamaulipas","General","2010","ene",1363
"253","Tlaxcala","General","2010","ene",315
"254","Veracruz","General","2010","ene",1852
"255","Yucatan","General","2010","ene",647
"256","Zacatecas","General","2010","ene",330
"257","Aguscalientes","General","2011","ene",423
"258","Baja California","General","2011","ene",1188
"259","Baja California Sur","General","2011","ene",127
"260","Campeche","General","2011","ene",197
"261","Coahuila","General","2011","ene",959
"262","Colima","General","2011","ene",103
"263","Chiapas","General","2011","ene",1132
"264","Chihuahua","General","2011","ene",1644
"265","Distrito Federal","General","2011","ene",2687
"266","Durango","General","2011","ene",769
"267","Guanajuato","General","2011","ene",1276
"268","Guerrero","General","2011","ene",1052
"269","Hidalgo","General","2011","ene",550
"270","Jalisco","General","2011","ene",2594
"271","Mexico","General","2011","ene",4321
"272","Michoacan","General","2011","ene",1001
"273","Morelos","General","2011","ene",817
"274","Nayarit","General","2011","ene",287
"275","Nuevo Leon","General","2011","ene",1419
"276","Oaxaca","General","2011","ene",1246
"277","Puebla","General","2011","ene",1129
"278","Queretaro","General","2011","ene",415
"279","Quintana Roo","General","2011","ene",218
"280","San Luis Potosi","General","2011","ene",983
"281","Sinaloa","General","2011","ene",1145
"282","Sonora","General","2011","ene",644
"283","Tabasco","General","2011","ene",589
"284","Tamaulipas","General","2011","ene",1051
"285","Tlaxcala","General","2011","ene",276
"286","Veracruz","General","2011","ene",1995
"287","Yucatan","General","2011","ene",575
"288","Zacatecas","General","2011","ene",362
"289","Aguscalientes","General","2012","ene",904
"290","Baja California","General","2012","ene",1528
"291","Baja California Sur","General","2012","ene",209
"292","Campeche","General","2012","ene",214
"293","Coahuila","General","2012","ene",1333
"294","Colima","General","2012","ene",193
"295","Chiapas","General","2012","ene",1132
"296","Chihuahua","General","2012","ene",2218
"297","Distrito Federal","General","2012","ene",2681
"298","Durango","General","2012","ene",814
"299","Guanajuato","General","2012","ene",1409
"300","Guerrero","General","2012","ene",1139
"301","Hidalgo","General","2012","ene",781
"302","Jalisco","General","2012","ene",3510
"303","Mexico","General","2012","ene",5259
"304","Michoacan","General","2012","ene",1118
"305","Morelos","General","2012","ene",1068
"306","Nayarit","General","2012","ene",413
"307","Nuevo Leon","General","2012","ene",1426
"308","Oaxaca","General","2012","ene",858
"309","Puebla","General","2012","ene",1540
"310","Queretaro","General","2012","ene",525
"311","Quintana Roo","General","2012","ene",324
"312","San Luis Potosi","General","2012","ene",1049
"313","Sinaloa","General","2012","ene",1784
"314","Sonora","General","2012","ene",1134
"315","Tabasco","General","2012","ene",872
"316","Tamaulipas","General","2012","ene",1359
"317","Tlaxcala","General","2012","ene",389
"318","Veracruz","General","2012","ene",2310
"319","Yucatan","General","2012","ene",392
"320","Zacatecas","General","2012","ene",433
"321","Aguscalientes","General","2013","ene",717
"322","Baja California","General","2013","ene",1433
"323","Baja California Sur","General","2013","ene",191
"324","Campeche","General","2013","ene",121
"325","Coahuila","General","2013","ene",1149
"326","Colima","General","2013","ene",152
"327","Chiapas","General","2013","ene",1106
"328","Chihuahua","General","2013","ene",1700
"329","Distrito Federal","General","2013","ene",2420
"330","Durango","General","2013","ene",506
"331","Guanajuato","General","2013","ene",1487
"332","Guerrero","General","2013","ene",1315
"333","Hidalgo","General","2013","ene",833
"334","Jalisco","General","2013","ene",2649
"335","Mexico","General","2013","ene",5554
"336","Michoacan","General","2013","ene",1143
"337","Morelos","General","2013","ene",901
"338","Nayarit","General","2013","ene",370
"339","Nuevo Leon","General","2013","ene",1357
"340","Oaxaca","General","2013","ene",1039
"341","Puebla","General","2013","ene",775
"342","Queretaro","General","2013","ene",490
"343","Quintana Roo","General","2013","ene",306
"344","San Luis Potosi","General","2013","ene",915
"345","Sinaloa","General","2013","ene",1507
"346","Sonora","General","2013","ene",991
"347","Tabasco","General","2013","ene",752
"348","Tamaulipas","General","2013","ene",1341
"349","Tlaxcala","General","2013","ene",386
"350","Veracruz","General","2013","ene",2436
"351","Yucatan","General","2013","ene",718
"352","Zacatecas","General","2013","ene",358
"353","Aguscalientes","Hombres","2003","ene",108
"354","Baja California","Hombres","2003","ene",436
"355","Baja California Sur","Hombres","2003","ene",72
"356","Campeche","Hombres","2003","ene",79
"357","Coahuila","Hombres","2003","ene",563
"358","Colima","Hombres","2003","ene",77
"359","Chiapas","Hombres","2003","ene",350
"360","Chihuahua","Hombres","2003","ene",517
"361","Distrito Federal","Hombres","2003","ene",1721
"362","Durango","Hombres","2003","ene",390
"363","Guanajuato","Hombres","2003","ene",618
"364","Guerrero","Hombres","2003","ene",521
"365","Hidalgo","Hombres","2003","ene",183
"366","Jalisco","Hombres","2003","ene",798
"367","Mexico","Hombres","2003","ene",1501
"368","Michoacan","Hombres","2003","ene",370
"369","Morelos","Hombres","2003","ene",299
"370","Nayarit","Hombres","2003","ene",131
"371","Nuevo Leon","Hombres","2003","ene",460
"372","Oaxaca","Hombres","2003","ene",278
"373","Puebla","Hombres","2003","ene",459
"374","Queretaro","Hombres","2003","ene",185
"375","Quintana Roo","Hombres","2003","ene",79
"376","San Luis Potosi","Hombres","2003","ene",289
"377","Sinaloa","Hombres","2003","ene",327
"378","Sonora","Hombres","2003","ene",289
"379","Tabasco","Hombres","2003","ene",217
"380","Tamaulipas","Hombres","2003","ene",441
"381","Tlaxcala","Hombres","2003","ene",113
"382","Veracruz","Hombres","2003","ene",471
"383","Yucatan","Hombres","2003","ene",205
"384","Zacatecas","Hombres","2003","ene",171
"385","Aguscalientes","Hombres","2004","ene",313
"386","Baja California","Hombres","2004","ene",401
"387","Baja California Sur","Hombres","2004","ene",100
"388","Campeche","Hombres","2004","ene",72
"389","Coahuila","Hombres","2004","ene",488
"390","Colima","Hombres","2004","ene",37
"391","Chiapas","Hombres","2004","ene",323
"392","Chihuahua","Hombres","2004","ene",463
"393","Distrito Federal","Hombres","2004","ene",1362
"394","Durango","Hombres","2004","ene",300
"395","Guanajuato","Hombres","2004","ene",486
"396","Guerrero","Hombres","2004","ene",451
"397","Hidalgo","Hombres","2004","ene",206
"398","Jalisco","Hombres","2004","ene",1337
"399","Mexico","Hombres","2004","ene",1459
"400","Michoacan","Hombres","2004","ene",297
"401","Morelos","Hombres","2004","ene",349
"402","Nayarit","Hombres","2004","ene",93
"403","Nuevo Leon","Hombres","2004","ene",420
"404","Oaxaca","Hombres","2004","ene",312
"405","Puebla","Hombres","2004","ene",593
"406","Queretaro","Hombres","2004","ene",162
"407","Quintana Roo","Hombres","2004","ene",39
"408","San Luis Potosi","Hombres","2004","ene",300
"409","Sinaloa","Hombres","2004","ene",398
"410","Sonora","Hombres","2004","ene",301
"411","Tabasco","Hombres","2004","ene",215
"412","Tamaulipas","Hombres","2004","ene",371
"413","Tlaxcala","Hombres","2004","ene",94
"414","Veracruz","Hombres","2004","ene",422
"415","Yucatan","Hombres","2004","ene",324
"416","Zacatecas","Hombres","2004","ene",139
"417","Aguscalientes","Hombres","2005","ene",116
"418","Baja California","Hombres","2005","ene",423
"419","Baja California Sur","Hombres","2005","ene",78
"420","Campeche","Hombres","2005","ene",114
"421","Coahuila","Hombres","2005","ene",523
"422","Colima","Hombres","2005","ene",78
"423","Chiapas","Hombres","2005","ene",433
"424","Chihuahua","Hombres","2005","ene",349
"425","Distrito Federal","Hombres","2005","ene",1265
"426","Durango","Hombres","2005","ene",413
"427","Guanajuato","Hombres","2005","ene",488
"428","Guerrero","Hombres","2005","ene",455
"429","Hidalgo","Hombres","2005","ene",187
"430","Jalisco","Hombres","2005","ene",1195
"431","Mexico","Hombres","2005","ene",1470
"432","Michoacan","Hombres","2005","ene",261
"433","Morelos","Hombres","2005","ene",269
"434","Nayarit","Hombres","2005","ene",121
"435","Nuevo Leon","Hombres","2005","ene",433
"436","Oaxaca","Hombres","2005","ene",340
"437","Puebla","Hombres","2005","ene",651
"438","Queretaro","Hombres","2005","ene",130
"439","Quintana Roo","Hombres","2005","ene",57
"440","San Luis Potosi","Hombres","2005","ene",273
"441","Sinaloa","Hombres","2005","ene",454
"442","Sonora","Hombres","2005","ene",282
"443","Tabasco","Hombres","2005","ene",175
"444","Tamaulipas","Hombres","2005","ene",408
"445","Tlaxcala","Hombres","2005","ene",97
"446","Veracruz","Hombres","2005","ene",533
"447","Yucatan","Hombres","2005","ene",251
"448","Zacatecas","Hombres","2005","ene",158
"449","Aguscalientes","Hombres","2006","ene",131
"450","Baja California","Hombres","2006","ene",459
"451","Baja California Sur","Hombres","2006","ene",57
"452","Campeche","Hombres","2006","ene",69
"453","Coahuila","Hombres","2006","ene",550
"454","Colima","Hombres","2006","ene",79
"455","Chiapas","Hombres","2006","ene",379
"456","Chihuahua","Hombres","2006","ene",543
"457","Distrito Federal","Hombres","2006","ene",1561
"458","Durango","Hombres","2006","ene",430
"459","Guanajuato","Hombres","2006","ene",813
"460","Guerrero","Hombres","2006","ene",533
"461","Hidalgo","Hombres","2006","ene",212
"462","Jalisco","Hombres","2006","ene",1321
"463","Mexico","Hombres","2006","ene",1752
"464","Michoacan","Hombres","2006","ene",374
"465","Morelos","Hombres","2006","ene",388
"466","Nayarit","Hombres","2006","ene",141
"467","Nuevo Leon","Hombres","2006","ene",531
"468","Oaxaca","Hombres","2006","ene",411
"469","Puebla","Hombres","2006","ene",712
"470","Queretaro","Hombres","2006","ene",151
"471","Quintana Roo","Hombres","2006","ene",68
"472","San Luis Potosi","Hombres","2006","ene",422
"473","Sinaloa","Hombres","2006","ene",553
"474","Sonora","Hombres","2006","ene",315
"475","Tabasco","Hombres","2006","ene",248
"476","Tamaulipas","Hombres","2006","ene",478
"477","Tlaxcala","Hombres","2006","ene",145
"478","Veracruz","Hombres","2006","ene",550
"479","Yucatan","Hombres","2006","ene",344
"480","Zacatecas","Hombres","2006","ene",132
"481","Aguscalientes","Hombres","2007","ene",231
"482","Baja California","Hombres","2007","ene",491
"483","Baja California Sur","Hombres","2007","ene",84
"484","Campeche","Hombres","2007","ene",134
"485","Coahuila","Hombres","2007","ene",601
"486","Colima","Hombres","2007","ene",85
"487","Chiapas","Hombres","2007","ene",367
"488","Chihuahua","Hombres","2007","ene",494
"489","Distrito Federal","Hombres","2007","ene",1510
"490","Durango","Hombres","2007","ene",287
"491","Guanajuato","Hombres","2007","ene",692
"492","Guerrero","Hombres","2007","ene",414
"493","Hidalgo","Hombres","2007","ene",215
"494","Jalisco","Hombres","2007","ene",1144
"495","Mexico","Hombres","2007","ene",1824
"496","Michoacan","Hombres","2007","ene",457
"497","Morelos","Hombres","2007","ene",506
"498","Nayarit","Hombres","2007","ene",122
"499","Nuevo Leon","Hombres","2007","ene",595
"500","Oaxaca","Hombres","2007","ene",433
"501","Puebla","Hombres","2007","ene",714
"502","Queretaro","Hombres","2007","ene",156
"503","Quintana Roo","Hombres","2007","ene",77
"504","San Luis Potosi","Hombres","2007","ene",320
"505","Sinaloa","Hombres","2007","ene",569
"506","Sonora","Hombres","2007","ene",301
"507","Tabasco","Hombres","2007","ene",221
"508","Tamaulipas","Hombres","2007","ene",520
"509","Tlaxcala","Hombres","2007","ene",126
"510","Veracruz","Hombres","2007","ene",667
"511","Yucatan","Hombres","2007","ene",306
"512","Zacatecas","Hombres","2007","ene",138
"513","Aguscalientes","Hombres","2008","ene",119
"514","Baja California","Hombres","2008","ene",354
"515","Baja California Sur","Hombres","2008","ene",72
"516","Campeche","Hombres","2008","ene",63
"517","Coahuila","Hombres","2008","ene",394
"518","Colima","Hombres","2008","ene",68
"519","Chiapas","Hombres","2008","ene",301
"520","Chihuahua","Hombres","2008","ene",475
"521","Distrito Federal","Hombres","2008","ene",1062
"522","Durango","Hombres","2008","ene",222
"523","Guanajuato","Hombres","2008","ene",423
"524","Guerrero","Hombres","2008","ene",435
"525","Hidalgo","Hombres","2008","ene",181
"526","Jalisco","Hombres","2008","ene",1077
"527","Mexico","Hombres","2008","ene",1408
"528","Michoacan","Hombres","2008","ene",418
"529","Morelos","Hombres","2008","ene",292
"530","Nayarit","Hombres","2008","ene",168
"531","Nuevo Leon","Hombres","2008","ene",453
"532","Oaxaca","Hombres","2008","ene",393
"533","Puebla","Hombres","2008","ene",572
"534","Queretaro","Hombres","2008","ene",144
"535","Quintana Roo","Hombres","2008","ene",103
"536","San Luis Potosi","Hombres","2008","ene",312
"537","Sinaloa","Hombres","2008","ene",443
"538","Sonora","Hombres","2008","ene",310
"539","Tabasco","Hombres","2008","ene",188
"540","Tamaulipas","Hombres","2008","ene",362
"541","Tlaxcala","Hombres","2008","ene",117
"542","Veracruz","Hombres","2008","ene",610
"543","Yucatan","Hombres","2008","ene",289
"544","Zacatecas","Hombres","2008","ene",106
"545","Aguscalientes","Hombres","2009","ene",175
"546","Baja California","Hombres","2009","ene",420
"547","Baja California Sur","Hombres","2009","ene",93
"548","Campeche","Hombres","2009","ene",73
"549","Coahuila","Hombres","2009","ene",645
"550","Colima","Hombres","2009","ene",78
"551","Chiapas","Hombres","2009","ene",371
"552","Chihuahua","Hombres","2009","ene",616
"553","Distrito Federal","Hombres","2009","ene",1202
"554","Durango","Hombres","2009","ene",174
"555","Guanajuato","Hombres","2009","ene",618
"556","Guerrero","Hombres","2009","ene",421
"557","Hidalgo","Hombres","2009","ene",216
"558","Jalisco","Hombres","2009","ene",1099
"559","Mexico","Hombres","2009","ene",2011
"560","Michoacan","Hombres","2009","ene",485
"561","Morelos","Hombres","2009","ene",380
"562","Nayarit","Hombres","2009","ene",168
"563","Nuevo Leon","Hombres","2009","ene",539
"564","Oaxaca","Hombres","2009","ene",412
"565","Puebla","Hombres","2009","ene",877
"566","Queretaro","Hombres","2009","ene",167
"567","Quintana Roo","Hombres","2009","ene",109
"568","San Luis Potosi","Hombres","2009","ene",319
"569","Sinaloa","Hombres","2009","ene",492
"570","Sonora","Hombres","2009","ene",316
"571","Tabasco","Hombres","2009","ene",232
"572","Tamaulipas","Hombres","2009","ene",464
"573","Tlaxcala","Hombres","2009","ene",155
"574","Veracruz","Hombres","2009","ene",730
"575","Yucatan","Hombres","2009","ene",344
"576","Zacatecas","Hombres","2009","ene",155
"577","Aguscalientes","Hombres","2010","ene",91
"578","Baja California","Hombres","2010","ene",545
"579","Baja California Sur","Hombres","2010","ene",85
"580","Campeche","Hombres","2010","ene",50
"581","Coahuila","Hombres","2010","ene",612
"582","Colima","Hombres","2010","ene",59
"583","Chiapas","Hombres","2010","ene",359
"584","Chihuahua","Hombres","2010","ene",636
"585","Distrito Federal","Hombres","2010","ene",1192
"586","Durango","Hombres","2010","ene",272
"587","Guanajuato","Hombres","2010","ene",577
"588","Guerrero","Hombres","2010","ene",410
"589","Hidalgo","Hombres","2010","ene",236
"590","Jalisco","Hombres","2010","ene",1177
"591","Mexico","Hombres","2010","ene",2051
"592","Michoacan","Hombres","2010","ene",525
"593","Morelos","Hombres","2010","ene",335
"594","Nayarit","Hombres","2010","ene",104
"595","Nuevo Leon","Hombres","2010","ene",588
"596","Oaxaca","Hombres","2010","ene",383
"597","Puebla","Hombres","2010","ene",538
"598","Queretaro","Hombres","2010","ene",190
"599","Quintana Roo","Hombres","2010","ene",109
"600","San Luis Potosi","Hombres","2010","ene",377
"601","Sinaloa","Hombres","2010","ene",509
"602","Sonora","Hombres","2010","ene",324
"603","Tabasco","Hombres","2010","ene",297
"604","Tamaulipas","Hombres","2010","ene",600
"605","Tlaxcala","Hombres","2010","ene",146
"606","Veracruz","Hombres","2010","ene",772
"607","Yucatan","Hombres","2010","ene",243
"608","Zacatecas","Hombres","2010","ene",122
"609","Aguscalientes","Hombres","2011","ene",185
"610","Baja California","Hombres","2011","ene",526
"611","Baja California Sur","Hombres","2011","ene",66
"612","Campeche","Hombres","2011","ene",81
"613","Coahuila","Hombres","2011","ene",356
"614","Colima","Hombres","2011","ene",56
"615","Chiapas","Hombres","2011","ene",428
"616","Chihuahua","Hombres","2011","ene",683
"617","Distrito Federal","Hombres","2011","ene",1199
"618","Durango","Hombres","2011","ene",342
"619","Guanajuato","Hombres","2011","ene",566
"620","Guerrero","Hombres","2011","ene",398
"621","Hidalgo","Hombres","2011","ene",218
"622","Jalisco","Hombres","2011","ene",1153
"623","Mexico","Hombres","2011","ene",1774
"624","Michoacan","Hombres","2011","ene",414
"625","Morelos","Hombres","2011","ene",373
"626","Nayarit","Hombres","2011","ene",131
"627","Nuevo Leon","Hombres","2011","ene",604
"628","Oaxaca","Hombres","2011","ene",476
"629","Puebla","Hombres","2011","ene",470
"630","Queretaro","Hombres","2011","ene",181
"631","Quintana Roo","Hombres","2011","ene",96
"632","San Luis Potosi","Hombres","2011","ene",392
"633","Sinaloa","Hombres","2011","ene",479
"634","Sonora","Hombres","2011","ene",263
"635","Tabasco","Hombres","2011","ene",248
"636","Tamaulipas","Hombres","2011","ene",466
"637","Tlaxcala","Hombres","2011","ene",128
"638","Veracruz","Hombres","2011","ene",756
"639","Yucatan","Hombres","2011","ene",272
"640","Zacatecas","Hombres","2011","ene",163
"641","Aguscalientes","Hombres","2012","ene",416
"642","Baja California","Hombres","2012","ene",731
"643","Baja California Sur","Hombres","2012","ene",98
"644","Campeche","Hombres","2012","ene",93
"645","Coahuila","Hombres","2012","ene",622
"646","Colima","Hombres","2012","ene",98
"647","Chiapas","Hombres","2012","ene",429
"648","Chihuahua","Hombres","2012","ene",947
"649","Distrito Federal","Hombres","2012","ene",1164
"650","Durango","Hombres","2012","ene",323
"651","Guanajuato","Hombres","2012","ene",648
"652","Guerrero","Hombres","2012","ene",484
"653","Hidalgo","Hombres","2012","ene",318
"654","Jalisco","Hombres","2012","ene",1543
"655","Mexico","Hombres","2012","ene",2235
"656","Michoacan","Hombres","2012","ene",477
"657","Morelos","Hombres","2012","ene",464
"658","Nayarit","Hombres","2012","ene",154
"659","Nuevo Leon","Hombres","2012","ene",686
"660","Oaxaca","Hombres","2012","ene",345
"661","Puebla","Hombres","2012","ene",618
