"","estado","genero","fecha","fuente","casos"
"603","Tabasco","Mujeres","2010","salud",1818
"604","Tamaulipas","Mujeres","2010","salud",2402
"605","Tlaxcala","Mujeres","2010","salud",754
"606","Veracruz","Mujeres","2010","salud",4822
"607","Yucatan","Mujeres","2010","salud",1134
"608","Zacatecas","Mujeres","2010","salud",947
"609","Aguscalientes","Mujeres","2011","salud",1146
"610","Baja California","Mujeres","2011","salud",3072
"611","Baja California Sur","Mujeres","2011","salud",427
"612","Campeche","Mujeres","2011","salud",793
"613","Coahuila","Mujeres","2011","salud",724
"614","Colima","Mujeres","2011","salud",547
"615","Chiapas","Mujeres","2011","salud",3132
"616","Chihuahua","Mujeres","2011","salud",2670
"617","Distrito Federal","Mujeres","2011","salud",6566
"618","Durango","Mujeres","2011","salud",738
"619","Guanajuato","Mujeres","2011","salud",5080
"620","Guerrero","Mujeres","2011","salud",4305
"621","Hidalgo","Mujeres","2011","salud",2661
"622","Jalisco","Mujeres","2011","salud",4124
"623","Mexico","Mujeres","2011","salud",15691
"624","Michoacan","Mujeres","2011","salud",2617
"625","Morelos","Mujeres","2011","salud",1553
"626","Nayarit","Mujeres","2011","salud",619
"627","Nuevo Leon","Mujeres","2011","salud",2065
"628","Oaxaca","Mujeres","2011","salud",3292
"629","Puebla","Mujeres","2011","salud",3069
"630","Queretaro","Mujeres","2011","salud",1389
"631","Quintana Roo","Mujeres","2011","salud",1027
"632","San Luis Potosi","Mujeres","2011","salud",2862
