"","estado","genero","fecha","edad","casos"
"67","Baja California Sur","General","2005","<1",0
"68","Campeche","General","2005","<1",4
"69","Coahuila","General","2005","<1",0
"70","Colima","General","2005","<1",0
"71","Chiapas","General","2005","<1",2
"72","Chihuahua","General","2005","<1",8
"73","Distrito Federal","General","2005","<1",0
"74","Durango","General","2005","<1",0
"75","Guanajuato","General","2005","<1",0
"76","Guerrero","General","2005","<1",0
"77","Hidalgo","General","2005","<1",0
"78","Jalisco","General","2005","<1",16
"79","Mexico","General","2005","<1",5
"80","Michoacan","General","2005","<1",0
"81","Morelos","General","2005","<1",0
"82","Nayarit","General","2005","<1",0
"83","Nuevo Leon","General","2005","<1",3
"84","Oaxaca","General","2005","<1",0
"85","Puebla","General","2005","<1",2
"86","Queretaro","General","2005","<1",0
"87","Quintana Roo","General","2005","<1",0
"88","San Luis Potosi","General","2005","<1",0
"89","Sinaloa","General","2005","<1",1
"90","Sonora","General","2005","<1",9
"91","Tabasco","General","2005","<1",56
"92","Tamaulipas","General","2005","<1",2
"93","Tlaxcala","General","2005","<1",0
"94","Veracruz","General","2005","<1",0
"95","Yucatan","General","2005","<1",0
"96","Zacatecas","General","2005","<1",0
"97","Aguscalientes","General","2006","<1",0
"98","Baja California","General","2006","<1",0
"99","Baja California Sur","General","2006","<1",0
"100","Campeche","General","2006","<1",0
"101","Coahuila","General","2006","<1",0
"102","Colima","General","2006","<1",0
"103","Chiapas","General","2006","<1",3
"104","Chihuahua","General","2006","<1",0
"105","Distrito Federal","General","2006","<1",0
"106","Durango","General","2006","<1",0
"107","Guanajuato","General","2006","<1",0
"108","Guerrero","General","2006","<1",5
"109","Hidalgo","General","2006","<1",0
"110","Jalisco","General","2006","<1",27
"111","Mexico","General","2006","<1",5
"112","Michoacan","General","2006","<1",0
"113","Morelos","General","2006","<1",0
"114","Nayarit","General","2006","<1",0
"115","Nuevo Leon","General","2006","<1",2
"116","Oaxaca","General","2006","<1",0
"117","Puebla","General","2006","<1",1
"118","Queretaro","General","2006","<1",0
"119","Quintana Roo","General","2006","<1",0
"120","San Luis Potosi","General","2006","<1",0
"121","Sinaloa","General","2006","<1",0
"122","Sonora","General","2006","<1",0
"123","Tabasco","General","2006","<1",1
"124","Tamaulipas","General","2006","<1",10
"125","Tlaxcala","General","2006","<1",0
"126","Veracruz","General","2006","<1",0
"127","Yucatan","General","2006","<1",0
"128","Zacatecas","General","2006","<1",0
"129","Aguscalientes","General","2007","<1",1
"130","Baja California","General","2007","<1",1
"131","Baja California Sur","General","2007","<1",0
"132","Campeche","General","2007","<1",0
"133","Coahuila","General","2007","<1",2
"134","Colima","General","2007","<1",0
"135","Chiapas","General","2007","<1",7
"136","Chihuahua","General","2007","<1",1
"137","Distrito Federal","General","2007","<1",0
"138","Durango","General","2007","<1",0
"139","Guanajuato","General","2007","<1",0
"140","Guerrero","General","2007","<1",1
"141","Hidalgo","General","2007","<1",0
"142","Jalisco","General","2007","<1",17
"143","Mexico","General","2007","<1",52
"144","Michoacan","General","2007","<1",0
"145","Morelos","General","2007","<1",0
"146","Nayarit","General","2007","<1",0
"147","Nuevo Leon","General","2007","<1",1
"148","Oaxaca","General","2007","<1",2
"149","Puebla","General","2007","<1",0
"150","Queretaro","General","2007","<1",0
"151","Quintana Roo","General","2007","<1",0
"152","San Luis Potosi","General","2007","<1",0
"153","Sinaloa","General","2007","<1",0
"154","Sonora","General","2007","<1",0
"155","Tabasco","General","2007","<1",0
"156","Tamaulipas","General","2007","<1",0
"157","Tlaxcala","General","2007","<1",0
"158","Veracruz","General","2007","<1",0
"159","Yucatan","General","2007","<1",1
"160","Zacatecas","General","2007","<1",0
"161","Aguscalientes","General","2008","<1",0
"162","Baja California","General","2008","<1",1
"163","Baja California Sur","General","2008","<1",0
"164","Campeche","General","2008","<1",3
"165","Coahuila","General","2008","<1",0
"166","Colima","General","2008","<1",0
"167","Chiapas","General","2008","<1",0
"168","Chihuahua","General","2008","<1",0
"169","Distrito Federal","General","2008","<1",0
"170","Durango","General","2008","<1",0
"171","Guanajuato","General","2008","<1",0
"172","Guerrero","General","2008","<1",0
"173","Hidalgo","General","2008","<1",0
"174","Jalisco","General","2008","<1",21
"175","Mexico","General","2008","<1",9
"176","Michoacan","General","2008","<1",0
"177","Morelos","General","2008","<1",0
"178","Nayarit","General","2008","<1",0
"179","Nuevo Leon","General","2008","<1",1
"180","Oaxaca","General","2008","<1",0
"181","Puebla","General","2008","<1",0
"182","Queretaro","General","2008","<1",0
"183","Quintana Roo","General","2008","<1",0
"184","San Luis Potosi","General","2008","<1",0
"185","Sinaloa","General","2008","<1",2
"186","Sonora","General","2008","<1",2
"187","Tabasco","General","2008","<1",0
"188","Tamaulipas","General","2008","<1",53
"189","Tlaxcala","General","2008","<1",0
"190","Veracruz","General","2008","<1",0
"191","Yucatan","General","2008","<1",0
"192","Zacatecas","General","2008","<1",0
"193","Aguscalientes","General","2009","<1",0
"194","Baja California","General","2009","<1",2
"195","Baja California Sur","General","2009","<1",1
"196","Campeche","General","2009","<1",1
"197","Coahuila","General","2009","<1",0
"198","Colima","General","2009","<1",0
"199","Chiapas","General","2009","<1",0
"200","Chihuahua","General","2009","<1",1
"201","Distrito Federal","General","2009","<1",0
"202","Durango","General","2009","<1",0
"203","Guanajuato","General","2009","<1",0
"204","Guerrero","General","2009","<1",0
"205","Hidalgo","General","2009","<1",0
"206","Jalisco","General","2009","<1",9
"207","Mexico","General","2009","<1",0
"208","Michoacan","General","2009","<1",0
"209","Morelos","General","2009","<1",0
"210","Nayarit","General","2009","<1",0
"211","Nuevo Leon","General","2009","<1",0
"212","Oaxaca","General","2009","<1",1
"213","Puebla","General","2009","<1",0
"214","Queretaro","General","2009","<1",0
"215","Quintana Roo","General","2009","<1",1
"216","San Luis Potosi","General","2009","<1",0
"217","Sinaloa","General","2009","<1",0
"218","Sonora","General","2009","<1",0
"219","Tabasco","General","2009","<1",0
"220","Tamaulipas","General","2009","<1",0
"221","Tlaxcala","General","2009","<1",0
"222","Veracruz","General","2009","<1",5
"223","Yucatan","General","2009","<1",0
"224","Zacatecas","General","2009","<1",0
"225","Aguscalientes","General","2010","<1",0
"226","Baja California","General","2010","<1",4
"227","Baja California Sur","General","2010","<1",0
"228","Campeche","General","2010","<1",0
"229","Coahuila","General","2010","<1",0
"230","Colima","General","2010","<1",0
"231","Chiapas","General","2010","<1",0
"232","Chihuahua","General","2010","<1",1
"233","Distrito Federal","General","2010","<1",0
"234","Durango","General","2010","<1",0
"235","Guanajuato","General","2010","<1",0
"236","Guerrero","General","2010","<1",0
"237","Hidalgo","General","2010","<1",0
"238","Jalisco","General","2010","<1",1
"239","Mexico","General","2010","<1",8
"240","Michoacan","General","2010","<1",0
"241","Morelos","General","2010","<1",0
"242","Nayarit","General","2010","<1",0
"243","Nuevo Leon","General","2010","<1",0
"244","Oaxaca","General","2010","<1",0
"245","Puebla","General","2010","<1",0
"246","Queretaro","General","2010","<1",0
"247","Quintana Roo","General","2010","<1",0
"248","San Luis Potosi","General","2010","<1",0
"249","Sinaloa","General","2010","<1",0
"250","Sonora","General","2010","<1",2
"251","Tabasco","General","2010","<1",1
"252","Tamaulipas","General","2010","<1",0
"253","Tlaxcala","General","2010","<1",0
"254","Veracruz","General","2010","<1",0
"255","Yucatan","General","2010","<1",0
"256","Zacatecas","General","2010","<1",0
"257","Aguscalientes","General","2011","<1",0
"258","Baja California","General","2011","<1",0
"259","Baja California Sur","General","2011","<1",0
"260","Campeche","General","2011","<1",0
"261","Coahuila","General","2011","<1",0
"262","Colima","General","2011","<1",0
"263","Chiapas","General","2011","<1",0
"264","Chihuahua","General","2011","<1",5
"265","Distrito Federal","General","2011","<1",1
"266","Durango","General","2011","<1",0
"267","Guanajuato","General","2011","<1",1
"268","Guerrero","General","2011","<1",5
"269","Hidalgo","General","2011","<1",0
"270","Jalisco","General","2011","<1",1
"271","Mexico","General","2011","<1",21
"272","Michoacan","General","2011","<1",1
"273","Morelos","General","2011","<1",14
"274","Nayarit","General","2011","<1",0
"275","Nuevo Leon","General","2011","<1",3
"276","Oaxaca","General","2011","<1",1
"277","Puebla","General","2011","<1",0
"278","Queretaro","General","2011","<1",0
"279","Quintana Roo","General","2011","<1",1
"280","San Luis Potosi","General","2011","<1",1
"281","Sinaloa","General","2011","<1",3
"282","Sonora","General","2011","<1",2
"283","Tabasco","General","2011","<1",0
"284","Tamaulipas","General","2011","<1",0
"285","Tlaxcala","General","2011","<1",3
"286","Veracruz","General","2011","<1",2
"287","Yucatan","General","2011","<1",0
"288","Zacatecas","General","2011","<1",0
"289","Aguscalientes","General","2012","<1",0
"290","Baja California","General","2012","<1",1
"291","Baja California Sur","General","2012","<1",0
"292","Campeche","General","2012","<1",0
"293","Coahuila","General","2012","<1",3
"294","Colima","General","2012","<1",0
"295","Chiapas","General","2012","<1",2
"296","Chihuahua","General","2012","<1",1
"297","Distrito Federal","General","2012","<1",0
"298","Durango","General","2012","<1",0
"299","Guanajuato","General","2012","<1",0
"300","Guerrero","General","2012","<1",0
"301","Hidalgo","General","2012","<1",0
"302","Jalisco","General","2012","<1",6
"303","Mexico","General","2012","<1",2
"304","Michoacan","General","2012","<1",0
"305","Morelos","General","2012","<1",0
"306","Nayarit","General","2012","<1",1
"307","Nuevo Leon","General","2012","<1",0
"308","Oaxaca","General","2012","<1",4
"309","Puebla","General","2012","<1",0
"310","Queretaro","General","2012","<1",0
"311","Quintana Roo","General","2012","<1",0
"312","San Luis Potosi","General","2012","<1",0
"313","Sinaloa","General","2012","<1",0
"314","Sonora","General","2012","<1",3
"315","Tabasco","General","2012","<1",0
"316","Tamaulipas","General","2012","<1",0
"317","Tlaxcala","General","2012","<1",0
"318","Veracruz","General","2012","<1",0
"319","Yucatan","General","2012","<1",2
"320","Zacatecas","General","2012","<1",0
"353","Aguscalientes","Hombres","2003","<1",0
"354","Baja California","Hombres","2003","<1",0
"355","Baja California Sur","Hombres","2003","<1",0
"356","Campeche","Hombres","2003","<1",0
"357","Coahuila","Hombres","2003","<1",2
"358","Colima","Hombres","2003","<1",0
"359","Chiapas","Hombres","2003","<1",1
"360","Chihuahua","Hombres","2003","<1",0
"361","Distrito Federal","Hombres","2003","<1",0
"362","Durango","Hombres","2003","<1",0
"363","Guanajuato","Hombres","2003","<1",0
"364","Guerrero","Hombres","2003","<1",0
"365","Hidalgo","Hombres","2003","<1",1
"366","Jalisco","Hombres","2003","<1",0
"367","Mexico","Hombres","2003","<1",11
"368","Michoacan","Hombres","2003","<1",0
"369","Morelos","Hombres","2003","<1",0
"370","Nayarit","Hombres","2003","<1",0
"371","Nuevo Leon","Hombres","2003","<1",2
"372","Oaxaca","Hombres","2003","<1",0
"373","Puebla","Hombres","2003","<1",0
"374","Queretaro","Hombres","2003","<1",0
"375","Quintana Roo","Hombres","2003","<1",0
"376","San Luis Potosi","Hombres","2003","<1",0
"377","Sinaloa","Hombres","2003","<1",1
"378","Sonora","Hombres","2003","<1",2
"379","Tabasco","Hombres","2003","<1",0
"380","Tamaulipas","Hombres","2003","<1",0
"381","Tlaxcala","Hombres","2003","<1",0
"382","Veracruz","Hombres","2003","<1",0
"383","Yucatan","Hombres","2003","<1",0
"384","Zacatecas","Hombres","2003","<1",0
"385","Aguscalientes","Hombres","2004","<1",0
"386","Baja California","Hombres","2004","<1",0
"387","Baja California Sur","Hombres","2004","<1",0
"388","Campeche","Hombres","2004","<1",0
"389","Coahuila","Hombres","2004","<1",3
"390","Colima","Hombres","2004","<1",0
"391","Chiapas","Hombres","2004","<1",1
"392","Chihuahua","Hombres","2004","<1",0
"393","Distrito Federal","Hombres","2004","<1",0
"394","Durango","Hombres","2004","<1",0
"395","Guanajuato","Hombres","2004","<1",0
"396","Guerrero","Hombres","2004","<1",0
"397","Hidalgo","Hombres","2004","<1",0
"398","Jalisco","Hombres","2004","<1",11
"399","Mexico","Hombres","2004","<1",16
"400","Michoacan","Hombres","2004","<1",0
"401","Morelos","Hombres","2004","<1",0
"402","Nayarit","Hombres","2004","<1",0
"403","Nuevo Leon","Hombres","2004","<1",6
"404","Oaxaca","Hombres","2004","<1",0
"405","Puebla","Hombres","2004","<1",55
"406","Queretaro","Hombres","2004","<1",0
"407","Quintana Roo","Hombres","2004","<1",0
"408","San Luis Potosi","Hombres","2004","<1",0
"409","Sinaloa","Hombres","2004","<1",0
"410","Sonora","Hombres","2004","<1",0
"411","Tabasco","Hombres","2004","<1",0
"412","Tamaulipas","Hombres","2004","<1",21
"413","Tlaxcala","Hombres","2004","<1",0
"414","Veracruz","Hombres","2004","<1",2
"415","Yucatan","Hombres","2004","<1",0
"416","Zacatecas","Hombres","2004","<1",0
"417","Aguscalientes","Hombres","2005","<1",0
"418","Baja California","Hombres","2005","<1",3
"419","Baja California Sur","Hombres","2005","<1",0
"420","Campeche","Hombres","2005","<1",3
"421","Coahuila","Hombres","2005","<1",0
"422","Colima","Hombres","2005","<1",0
"423","Chiapas","Hombres","2005","<1",1
"424","Chihuahua","Hombres","2005","<1",2
"425","Distrito Federal","Hombres","2005","<1",0
"426","Durango","Hombres","2005","<1",0
"427","Guanajuato","Hombres","2005","<1",0
"428","Guerrero","Hombres","2005","<1",0
"429","Hidalgo","Hombres","2005","<1",0
"430","Jalisco","Hombres","2005","<1",6
"431","Mexico","Hombres","2005","<1",4
"432","Michoacan","Hombres","2005","<1",0
"433","Morelos","Hombres","2005","<1",0
"434","Nayarit","Hombres","2005","<1",0
"435","Nuevo Leon","Hombres","2005","<1",2
"436","Oaxaca","Hombres","2005","<1",0
"437","Puebla","Hombres","2005","<1",1
"438","Queretaro","Hombres","2005","<1",0
"439","Quintana Roo","Hombres","2005","<1",0
"440","San Luis Potosi","Hombres","2005","<1",0
"441","Sinaloa","Hombres","2005","<1",0
"442","Sonora","Hombres","2005","<1",8
"443","Tabasco","Hombres","2005","<1",52
"444","Tamaulipas","Hombres","2005","<1",1
"445","Tlaxcala","Hombres","2005","<1",0
"446","Veracruz","Hombres","2005","<1",0
"447","Yucatan","Hombres","2005","<1",0
"448","Zacatecas","Hombres","2005","<1",0
"449","Aguscalientes","Hombres","2006","<1",0
"450","Baja California","Hombres","2006","<1",0
"451","Baja California Sur","Hombres","2006","<1",0
"452","Campeche","Hombres","2006","<1",0
"453","Coahuila","Hombres","2006","<1",0
"454","Colima","Hombres","2006","<1",0
"455","Chiapas","Hombres","2006","<1",2
"456","Chihuahua","Hombres","2006","<1",0
"457","Distrito Federal","Hombres","2006","<1",0
"458","Durango","Hombres","2006","<1",0
"459","Guanajuato","Hombres","2006","<1",0
"460","Guerrero","Hombres","2006","<1",4
"461","Hidalgo","Hombres","2006","<1",0
"462","Jalisco","Hombres","2006","<1",12
"463","Mexico","Hombres","2006","<1",4
"464","Michoacan","Hombres","2006","<1",0
"465","Morelos","Hombres","2006","<1",0
"466","Nayarit","Hombres","2006","<1",0
"467","Nuevo Leon","Hombres","2006","<1",1
"468","Oaxaca","Hombres","2006","<1",0
"469","Puebla","Hombres","2006","<1",1
"470","Queretaro","Hombres","2006","<1",0
"471","Quintana Roo","Hombres","2006","<1",0
"472","San Luis Potosi","Hombres","2006","<1",0
"473","Sinaloa","Hombres","2006","<1",0
"474","Sonora","Hombres","2006","<1",0
"475","Tabasco","Hombres","2006","<1",0
"476","Tamaulipas","Hombres","2006","<1",7
"477","Tlaxcala","Hombres","2006","<1",0
"478","Veracruz","Hombres","2006","<1",0
"479","Yucatan","Hombres","2006","<1",0
"480","Zacatecas","Hombres","2006","<1",0
"481","Aguscalientes","Hombres","2007","<1",0
"482","Baja California","Hombres","2007","<1",1
"483","Baja California Sur","Hombres","2007","<1",0
"484","Campeche","Hombres","2007","<1",0
"485","Coahuila","Hombres","2007","<1",2
"486","Colima","Hombres","2007","<1",0
"487","Chiapas","Hombres","2007","<1",4
"488","Chihuahua","Hombres","2007","<1",0
"489","Distrito Federal","Hombres","2007","<1",0
"490","Durango","Hombres","2007","<1",0
"491","Guanajuato","Hombres","2007","<1",0
"492","Guerrero","Hombres","2007","<1",1
"493","Hidalgo","Hombres","2007","<1",0
"494","Jalisco","Hombres","2007","<1",7
"495","Mexico","Hombres","2007","<1",49
"496","Michoacan","Hombres","2007","<1",0
"497","Morelos","Hombres","2007","<1",0
"498","Nayarit","Hombres","2007","<1",0
"499","Nuevo Leon","Hombres","2007","<1",1
"500","Oaxaca","Hombres","2007","<1",2
"501","Puebla","Hombres","2007","<1",0
"502","Queretaro","Hombres","2007","<1",0
"503","Quintana Roo","Hombres","2007","<1",0
"504","San Luis Potosi","Hombres","2007","<1",0
"505","Sinaloa","Hombres","2007","<1",0
"506","Sonora","Hombres","2007","<1",0
"507","Tabasco","Hombres","2007","<1",0
"508","Tamaulipas","Hombres","2007","<1",0
"509","Tlaxcala","Hombres","2007","<1",0
"510","Veracruz","Hombres","2007","<1",0
"511","Yucatan","Hombres","2007","<1",0
"512","Zacatecas","Hombres","2007","<1",0
"513","Aguscalientes","Hombres","2008","<1",0
"514","Baja California","Hombres","2008","<1",1
"515","Baja California Sur","Hombres","2008","<1",0
"516","Campeche","Hombres","2008","<1",0
"517","Coahuila","Hombres","2008","<1",0
"518","Colima","Hombres","2008","<1",0
"519","Chiapas","Hombres","2008","<1",0
"520","Chihuahua","Hombres","2008","<1",0
"521","Distrito Federal","Hombres","2008","<1",0
"522","Durango","Hombres","2008","<1",0
"523","Guanajuato","Hombres","2008","<1",0
"524","Guerrero","Hombres","2008","<1",0
"525","Hidalgo","Hombres","2008","<1",0
"526","Jalisco","Hombres","2008","<1",9
"527","Mexico","Hombres","2008","<1",3
"528","Michoacan","Hombres","2008","<1",0
"529","Morelos","Hombres","2008","<1",0
"530","Nayarit","Hombres","2008","<1",0
"531","Nuevo Leon","Hombres","2008","<1",1
"532","Oaxaca","Hombres","2008","<1",0
"533","Puebla","Hombres","2008","<1",0
"534","Queretaro","Hombres","2008","<1",0
"535","Quintana Roo","Hombres","2008","<1",0
"536","San Luis Potosi","Hombres","2008","<1",0
"537","Sinaloa","Hombres","2008","<1",0
"538","Sonora","Hombres","2008","<1",0
"539","Tabasco","Hombres","2008","<1",0
"540","Tamaulipas","Hombres","2008","<1",49
"541","Tlaxcala","Hombres","2008","<1",0
"542","Veracruz","Hombres","2008","<1",0
"543","Yucatan","Hombres","2008","<1",0
"544","Zacatecas","Hombres","2008","<1",0
"545","Aguscalientes","Hombres","2009","<1",0
"546","Baja California","Hombres","2009","<1",2
"547","Baja California Sur","Hombres","2009","<1",0
"548","Campeche","Hombres","2009","<1",0
"549","Coahuila","Hombres","2009","<1",0
"550","Colima","Hombres","2009","<1",0
"551","Chiapas","Hombres","2009","<1",0
"552","Chihuahua","Hombres","2009","<1",1
"553","Distrito Federal","Hombres","2009","<1",0
"554","Durango","Hombres","2009","<1",0
"555","Guanajuato","Hombres","2009","<1",0
"556","Guerrero","Hombres","2009","<1",0
"557","Hidalgo","Hombres","2009","<1",0
"558","Jalisco","Hombres","2009","<1",3
"559","Mexico","Hombres","2009","<1",0
"560","Michoacan","Hombres","2009","<1",0
"561","Morelos","Hombres","2009","<1",0
"562","Nayarit","Hombres","2009","<1",0
"563","Nuevo Leon","Hombres","2009","<1",0
"564","Oaxaca","Hombres","2009","<1",0
"565","Puebla","Hombres","2009","<1",0
"566","Queretaro","Hombres","2009","<1",0
"567","Quintana Roo","Hombres","2009","<1",1
"568","San Luis Potosi","Hombres","2009","<1",0
"569","Sinaloa","Hombres","2009","<1",0
"570","Sonora","Hombres","2009","<1",0
"571","Tabasco","Hombres","2009","<1",0
"572","Tamaulipas","Hombres","2009","<1",0
"573","Tlaxcala","Hombres","2009","<1",0
"574","Veracruz","Hombres","2009","<1",5
"575","Yucatan","Hombres","2009","<1",0
"576","Zacatecas","Hombres","2009","<1",0
"577","Aguscalientes","Hombres","2010","<1",0
"578","Baja California","Hombres","2010","<1",4
"579","Baja California Sur","Hombres","2010","<1",0
"580","Campeche","Hombres","2010","<1",0
"581","Coahuila","Hombres","2010","<1",0
"582","Colima","Hombres","2010","<1",0
"583","Chiapas","Hombres","2010","<1",0
"584","Chihuahua","Hombres","2010","<1",0
"585","Distrito Federal","Hombres","2010","<1",0
"586","Durango","Hombres","2010","<1",0
"587","Guanajuato","Hombres","2010","<1",0
"588","Guerrero","Hombres","2010","<1",0
"589","Hidalgo","Hombres","2010","<1",0
"590","Jalisco","Hombres","2010","<1",1
"591","Mexico","Hombres","2010","<1",2
"592","Michoacan","Hombres","2010","<1",0
"593","Morelos","Hombres","2010","<1",0
"594","Nayarit","Hombres","2010","<1",0
"595","Nuevo Leon","Hombres","2010","<1",0
"596","Oaxaca","Hombres","2010","<1",0
"597","Puebla","Hombres","2010","<1",0
"598","Queretaro","Hombres","2010","<1",0
"599","Quintana Roo","Hombres","2010","<1",0
"600","San Luis Potosi","Hombres","2010","<1",0
"601","Sinaloa","Hombres","2010","<1",0
"602","Sonora","Hombres","2010","<1",1
"603","Tabasco","Hombres","2010","<1",0
"604","Tamaulipas","Hombres","2010","<1",0
"605","Tlaxcala","Hombres","2010","<1",0
"606","Veracruz","Hombres","2010","<1",0
"607","Yucatan","Hombres","2010","<1",0
"608","Zacatecas","Hombres","2010","<1",0
"609","Aguscalientes","Hombres","2011","<1",0
"610","Baja California","Hombres","2011","<1",0
"611","Baja California Sur","Hombres","2011","<1",0
"612","Campeche","Hombres","2011","<1",0
"613","Coahuila","Hombres","2011","<1",0
"614","Colima","Hombres","2011","<1",0
"615","Chiapas","Hombres","2011","<1",0
"616","Chihuahua","Hombres","2011","<1",1
"617","Distrito Federal","Hombres","2011","<1",1
"618","Durango","Hombres","2011","<1",0
"619","Guanajuato","Hombres","2011","<1",1
"620","Guerrero","Hombres","2011","<1",3
"621","Hidalgo","Hombres","2011","<1",0
"622","Jalisco","Hombres","2011","<1",0
"623","Mexico","Hombres","2011","<1",7
"624","Michoacan","Hombres","2011","<1",1
"625","Morelos","Hombres","2011","<1",9
"626","Nayarit","Hombres","2011","<1",0
"627","Nuevo Leon","Hombres","2011","<1",1
"628","Oaxaca","Hombres","2011","<1",0
"629","Puebla","Hombres","2011","<1",0
"630","Queretaro","Hombres","2011","<1",0
"631","Quintana Roo","Hombres","2011","<1",1
"632","San Luis Potosi","Hombres","2011","<1",0
"633","Sinaloa","Hombres","2011","<1",3
"634","Sonora","Hombres","2011","<1",1
"635","Tabasco","Hombres","2011","<1",0
"636","Tamaulipas","Hombres","2011","<1",0
"637","Tlaxcala","Hombres","2011","<1",1
"638","Veracruz","Hombres","2011","<1",2
"639","Yucatan","Hombres","2011","<1",0
"640","Zacatecas","Hombres","2011","<1",0
"641","Aguscalientes","Hombres","2012","<1",0
"642","Baja California","Hombres","2012","<1",0
"643","Baja California Sur","Hombres","2012","<1",0
"644","Campeche","Hombres","2012","<1",0
"645","Coahuila","Hombres","2012","<1",3
"646","Colima","Hombres","2012","<1",0
"647","Chiapas","Hombres","2012","<1",0
"648","Chihuahua","Hombres","2012","<1",1
"649","Distrito Federal","Hombres","2012","<1",0
"650","Durango","Hombres","2012","<1",0
"651","Guanajuato","Hombres","2012","<1",0
"652","Guerrero","Hombres","2012","<1",0
"653","Hidalgo","Hombres","2012","<1",0
"654","Jalisco","Hombres","2012","<1",3
"655","Mexico","Hombres","2012","<1",1
"656","Michoacan","Hombres","2012","<1",0
"657","Morelos","Hombres","2012","<1",0
"658","Nayarit","Hombres","2012","<1",0
"659","Nuevo Leon","Hombres","2012","<1",0
"660","Oaxaca","Hombres","2012","<1",0
"661","Puebla","Hombres","2012","<1",0
"662","Queretaro","Hombres","2012","<1",0
"663","Quintana Roo","Hombres","2012","<1",0
"664","San Luis Potosi","Hombres","2012","<1",0
"665","Sinaloa","Hombres","2012","<1",0
"666","Sonora","Hombres","2012","<1",1
"667","Tabasco","Hombres","2012","<1",0
"668","Tamaulipas","Hombres","2012","<1",0
"669","Tlaxcala","Hombres","2012","<1",0
"670","Veracruz","Hombres","2012","<1",0
"671","Yucatan","Hombres","2012","<1",1
"672","Zacatecas","Hombres","2012","<1",0
"705","Aguscalientes","Mujeres","2003","<1",0
"706","Baja California","Mujeres","2003","<1",0
"707","Baja California Sur","Mujeres","2003","<1",0
"708","Campeche","Mujeres","2003","<1",0
"709","Coahuila","Mujeres","2003","<1",0
"710","Colima","Mujeres","2003","<1",0
"711","Chiapas","Mujeres","2003","<1",5
"712","Chihuahua","Mujeres","2003","<1",1
"713","Distrito Federal","Mujeres","2003","<1",0
"714","Durango","Mujeres","2003","<1",0
"715","Guanajuato","Mujeres","2003","<1",0
"716","Guerrero","Mujeres","2003","<1",1
"717","Hidalgo","Mujeres","2003","<1",0
"718","Jalisco","Mujeres","2003","<1",1
"719","Mexico","Mujeres","2003","<1",11
"720","Michoacan","Mujeres","2003","<1",0
"721","Morelos","Mujeres","2003","<1",0
"722","Nayarit","Mujeres","2003","<1",0
"723","Nuevo Leon","Mujeres","2003","<1",10
"724","Oaxaca","Mujeres","2003","<1",0
"725","Puebla","Mujeres","2003","<1",5
"726","Queretaro","Mujeres","2003","<1",0
"727","Quintana Roo","Mujeres","2003","<1",0
"728","San Luis Potosi","Mujeres","2003","<1",0
